edge_no,city_a,city_b,cost,region_a,region_b,source_status,visual_status,notes
1,Flensburg,Kiel,4,green,green,imported_from_board-game-networks,pending,,
2,Kiel,Lübeck,4,green,brown,imported_from_board-game-networks,pending,,
3,Kiel,Hamburg,8,green,green,imported_from_board-game-networks,pending,,
4,Cuxhaven,Hamburg,11,green,green,imported_from_board-game-networks,pending,,
5,Cuxhaven,Bremen,8,green,green,imported_from_board-game-networks,pending,,
6,Hamburg,Lübeck,6,green,brown,imported_from_board-game-networks,pending,,
7,Hamburg,Schwerin,8,green,brown,imported_from_board-game-networks,pending,,
8,Hamburg,Hannover,17,green,green,imported_from_board-game-networks,pending,,
9,Hamburg,Bremen,11,green,green,imported_from_board-game-networks,pending,,
10,Wilhelmshaven,Bremen,11,green,green,imported_from_board-game-networks,pending,,
11,Wilhelmshaven,Osnabrück,14,green,red,imported_from_board-game-networks,pending,,
12,Bremen,Hannover,10,green,green,imported_from_board-game-networks,pending,,
13,Bremen,Osnabrück,11,green,red,imported_from_board-game-networks,pending,,
14,Hannover,Osnabrück,16,green,red,imported_from_board-game-networks,pending,,
15,Hannover,Schwerin,19,green,brown,imported_from_board-game-networks,pending,,
16,Hannover,Magdeburg,15,green,brown,imported_from_board-game-networks,pending,,
17,Hannover,Erfurt,19,green,yellow,imported_from_board-game-networks,pending,,
18,Hannover,Kassel,15,green,red,imported_from_board-game-networks,pending,,
19,Lübeck,Schwerin,6,brown,brown,imported_from_board-game-networks,pending,,
20,Rostock,Schwerin,6,brown,brown,imported_from_board-game-networks,pending,,
21,Rostock,Torgelow,19,brown,brown,imported_from_board-game-networks,pending,,
22,Schwerin,Torgelow,19,brown,brown,imported_from_board-game-networks,pending,,
23,Schwerin,Berlin,18,brown,brown,imported_from_board-game-networks,pending,,
24,Schwerin,Magdeburg,16,brown,brown,imported_from_board-game-networks,pending,,
25,Torgelow,Berlin,15,brown,brown,imported_from_board-game-networks,pending,,
26,Magdeburg,Berlin,10,brown,brown,imported_from_board-game-networks,pending,,
27,Magdeburg,Halle,11,brown,yellow,imported_from_board-game-networks,pending,,
28,Berlin,Frankfurt (Oder),6,brown,brown,imported_from_board-game-networks,pending,,
29,Berlin,Halle,17,brown,yellow,imported_from_board-game-networks,pending,,
30,Frankfurt (Oder),Dresden,16,brown,yellow,imported_from_board-game-networks,pending,,
31,Frankfurt (Oder),Leipzig,21,brown,yellow,imported_from_board-game-networks,pending,,
32,Osnabrück,Kassel,20,red,red,imported_from_board-game-networks,pending,,
33,Osnabrück,Münster,7,red,red,imported_from_board-game-networks,pending,,
34,Münster,Dortmund,2,red,red,imported_from_board-game-networks,pending,,
35,Münster,Essen,6,red,red,imported_from_board-game-networks,pending,,
36,Duisburg,Essen,0,red,red,imported_from_board-game-networks,pending,,
